Position,Change,Artist,Title,Feat Artist,Days,Peak,Multiplier,Streams,Streams Change,7-Day Streams,7-Day Change,Total Streams
183,-6,Selena Gomez,Call Me When You Break Up,"benny blanco, Gracie Abrams",20,28,,1241161,"+26,908",8021447,"-256,325",30379684
184,+3,Lady Gaga,Poker Face,,68,93,,1239166,"+49,737",8684362,"+7,353",88808783
185,-7,The Weeknd,Cry For Me,,60,5,,1237619,"+29,268",7532804,"-100,078",134326344
186,-25,Chezile,Beanie,,134,53,,1233555,"-19,563",7564445,"-86,713",214785576
187,-14,DG e Batidão Stronda,Mãe Solteira,"Mc Davi, J. Eskine, MC G15",25,46,,1231465,+902,10377729,"-353,161",44569354
188,=,Billie Eilish,lovely,Khalid,2516,19,,1230760,"+41,724",7389188,"-31,951",3139806272
189,NEW,Neton Vega,Chiquita,Tito Double P,1,189,,1229918,,1229918,"+1,229,918",1229918
190,RE,Twenty One Pilots,Stressed Out,,877,5,,1227800,,1227800,"+1,227,800",876638863
191,-23,Feid,LUNA,ATL Jacob,484,7,,1226890,"-10,110",9340997,"-159,343",1206077558
192,-8,The Walters,I Love You So,,1044,18,,1224259,"+29,822",9022937,"-166,375",1492411591
193,+5,Benson Boone,In The Stars,,202,49,,1221823,"+81,195",3613815,"+1,221,823",231882972
194,-9,Arctic Monkeys,Do I Wanna Know?,,1324,69,,1221121,"+26,886",7284707,"-40,991",1087612414
195,-20,PARTYNEXTDOOR,DIE TRYING,"Drake, Yebba",45,51,,1214405,"-7,746",6114856,"-152,781",74077409
196,-4,LISA,Born Again,"Doja Cat, RAYE",54,6,,1211569,"+54,240",8791019,"-126,801",125637093
197,RE,Fetty Wap,Trap Queen,,561,7,,1209776,,3532800,"+1,209,776",412797596
198,-8,The Weeknd,São Paulo,Anitta,131,7,,1202418,"+34,673",6167727,"-90,649",246916589
199,RE,Travis Scott,FE!N,,564,3,1,1193641,,7423601,"-56,405",1179118563
200,RE,Evanescence,Bring Me To Life,,4,123,,1187143,,1187143,"+1,187,143",5594218
